name	category	genericName	unit	stockQuantity	reorderLevel	costPrice	sellingPrice	expiryDate	active
GARLIC MIXTURE	Herbal Remedies		bottle	0	30	0	0	9/6/2028	yes
GASTRACID	Gastrointestinal		pcs	10	10	15	20	9/12/2028	yes
GAUZE BANDAGE (10CM)	Medical Supplies		roll	0	30	0	0	9/6/2028	yes
GAUZE BANDAGE (15CM)	Medical Supplies		roll	0	30	0	0	9/6/2028	yes
GEBEDOL	Analgesics		pcs	60	12	4	5	9/13/2028	yes
GEBEDOL EXTRA	Analgesics		pack	9	8	8	10	9/13/2028	yes
GEBEDOL PLUS	Analgesics		pcs	8	3	7	8	9/13/2028	yes
GENFYNO TONIC	Vitamins & Supplements		bottle	0	30	0	0	9/6/2028	no
GENTIAN VIOLET	Skin Care		bottle	0	20	0	0	9/6/2028	yes
GIFAS CAPSULES	Herbal Remedies		capsules	7	2	35	40	9/6/2028	yes
GIFAS MIXTURE	Herbal Remedies		bottle	7	2	30	40	9/6/2028	yes
GINKELASTIC BANDAGE	Medical Supplies		roll	0	30	0	0	9/6/2028	yes
GLOPOWER CAPS	Vitamins & Supplements		pcs	5	10	8	10	9/12/2028	yes
GML-APETI	Vitamins & Supplements		pcs	44	5	3	5	9/13/2028	yes
GOGYNAX CREAM	Skin Care		tube	0	30	0	0	9/6/2028	yes
GOGYNAX PESSERY	Antifungals		tablets	0	30	0	0	9/6/2028	yes
GOOD MORNING	Herbal Remedies		bottle	8	30	35	40	9/6/2028	yes
GRENST OINT	Skin Care		tube	0	30	0	0	9/6/2028	yes
GRIPE WATER	Gastrointestinal		pcs	7	2	8	10	9/12/2028	yes
GRISEOFULVIN (125)	Antifungals		tablets	0	20	0	0	9/6/2028	yes
GRISEOFULVIN 250	Antifungals		tablets	0	20	0	0	9/6/2028	yes
GROFYN	Herbal Remedies		pcs	2	1	25	30	9/13/2028	yes
GWOSE	Vitamins & Supplements		bottle	0	30	0	0	9/6/2028	yes
GYNO-MYCOLEX	Antifungals		pcs	1	1	50	55	9/13/2028	yes
HAC-CER MIXTURE	Herbal Remedies		bottle	1	1	35	40	9/6/2028	yes
HEGMOLOBIN	Vitamins & Supplements		bottle	0	30	0	0	9/6/2028	yes
HEPA PLUS			pcs	2	0	20	25	9/13/2028	yes
HERBASOUL	Herbal Remedies		bottle	1	30	20	25	9/6/2028	yes
HIT MAN	Herbal Remedies		bottle	0	30	0	0	9/6/2028	yes
HYDRA CREAM	Skin Care		tube	0	30	0	0	9/6/2028	yes
HYDROCORTISONE	Injections		tablets	4	20	8	10	9/6/2028	yes
IBUCAP	Analgesics		pcs	32	5	4	5	9/13/2028	yes
IMBOOST MIXTURE	Herbal Remedies		bottle	0	30	0	0	9/6/2028	yes
INDOCID	Analgesics		capsules	112	10	1	2	9/6/2028	yes
INJECTIONS	Injections		units	0	20	0	0	9/6/2028	no
JARIFAN 2 DROPS	Vitamins & Supplements		pcs	1	1	20	25	9/12/2028	yes
JOY GRINTMENT	Skin Care		tube	0	30	0	0	9/6/2028	yes
JOY OINTMENT	Skin Care		tube	0	30	0	0	9/6/2028	yes
KIDIVIT  SYRUP	Vitamins & Supplements		bottle	0	30	0	0	9/6/2028	yes
KOFFEE ADULT	Respiratory		bottle	0	20	0	0	9/6/2028	yes
KOFFEX  COUGH SYRUP ADULT	Respiratory		bottle	1	20	17	20	9/6/2028	yes
KUMADADA BIG	Herbal Remedies		bottle	10	3	8	10	9/6/2028	yes
KUMADADA SMALL			pcs	1	1	3	5	9/13/2028	yes
KWIK ACTION	Analgesics		pcs	16	10	1	2	9/13/2028	yes
LAW-CARE MIXTURE	Herbal Remedies		bottle	4	1	30	35	9/6/2028	yes
LETADIUM	Gastrointestinal		pcs	33	10	0	3	9/13/2028	yes
LETAMOX	Anthelmintics		pcs	40	10	0	5	9/13/2028	yes
LEVON	Hormonal & Reproductive Health		tablets	10	2	17	20	9/6/2028	yes
LINCTUS ADULT	Respiratory		bottle	16	4	10	15	9/6/2028	yes
LOFNAC-100	Analgesics		pcs	32	10	0	5	9/13/2028	yes
LONGART	Antimalarials		tablets	0	30	0	0	9/6/2028	yes
LY DIG EMERGENCY	Hormonal & Reproductive Health		tablets	0	20	0	0	9/6/2028	yes
LYART DS	Antimalarials		tablets	0	30	0	0	9/6/2028	yes
MAAME DAGOMBA	Herbal Remedies		bottle	0	30	0	0	9/6/2028	yes
MADAM CATERRINE	Herbal Remedies		bottle	3	1	20	25	9/6/2028	yes
MALGR 2 SUSP	Vitamins & Supplements		bottle	0	20	0	0	9/6/2028	yes
MARINS LIVER	Vitamins & Supplements		bottle	35	5	1	2	9/6/2028	no
MCGRAPOLUFUNC	Vitamins & Supplements		bottle	0	30	0	0	9/6/2028	no
MEBENDAZOLE SUSP	Anthelmintics		bottle	0	20	0	0	9/6/2028	yes
MEDISOFT MOSQUITO	Skin Care		tube	0	30	0	0	9/6/2028	yes
MENSTEK	Medical Supplies		pack	0	30	0	0	9/6/2028	yes
MERCY CREAM & SOAP	Skin Care		tube	0	30	0	0	9/6/2028	yes
METFORMIN	Cardiovascular	Metformin	tablets	38	2	0	5	9/13/2028	yes
METHATHOS CUTH MIXTURE	Herbal Remedies		bottle	0	30	0	0	9/6/2028	yes
METHOTREXATE	Analgesics		tablets	0	20	0	0	9/6/2028	no
MIST SENNACO	Gastrointestinal		bottle	0	20	8	10	9/6/2028	yes
MIX+EB SYRUP	Vitamins & Supplements		bottle	0	20	0	0	9/6/2028	yes
MIX+GS	Vitamins & Supplements		bottle	0	20	0	0	9/6/2028	no
MIXTAB	Analgesics		pcs	18	10	2	3	9/13/2028	yes
MMT	Vitamins & Supplements		bottle	7	20	5	10	9/6/2028	yes
MOUTH WASH	Oral Care		bottle	0	20	0	0	9/6/2028	yes
NAZO			pcs	1	1	0	6	9/13/2028	yes
NBA	Herbal Remedies		bottle	2	2	10	12	9/6/2028	yes
NBA	Herbal Remedies		bottle	2	2	11	12	9/13/2028	yes
NEFIDIPINE	Cardiovascular		tablets	0	30	4	5	9/6/2028	yes
NIFEDIPINE	Cardiovascular	Nifedipine	pcs	0	10	4	5		yes
NQZO	Herbal Remedies		bottle	0	30	0	0	9/6/2028	no
NUGEL O	Gastrointestinal		bottle	4	1	55	60	9/6/2028	yes
OBAATANPA CREAM	Skin Care		pcs	10	2	0	10	9/13/2028	yes
ODYUMIN	Herbal Remedies		bottle	0	30	0	0	9/6/2028	no
OLIVE OIL	Skin Care		bottle	0	20	0	0	9/6/2028	yes
OMELIN BABY	Analgesics		bottle	0	20	0	0	9/6/2028	yes
OMEPRAZOLE	Gastrointestinal		capsules	23	3	6	7	9/6/2028	yes
ORS	Gastrointestinal		sachet	62	5	1	1	9/6/2028	yes
OSTEOQRE (VITABIOTIC)	Vitamins & Supplements		capsules	0	30	0	0	9/6/2028	yes
OSTEOQRE ORIGINAL	Vitamins & Supplements		capsules	0	30	0	0	9/6/2028	yes
PAVI MIXTURE			pcs	2	0	20	25	9/13/2028	yes
PAYL	Herbal Remedies		bottle	0	30	0	0	9/6/2028	no
PELGDAL EXTRA	Vitamins & Supplements		box	28	5	3	5	9/6/2028	yes
PELGDAL FORTE	Vitamins & Supplements		bottle	0	30	0	0	9/6/2028	yes
PENICILLIN V	Antibiotics		tablets	0	30	0	0	9/6/2028	no
PENICILLIN-V	Antibiotics	Penicillin V	tablets	87	20	0	2	9/13/2028	yes
PIMOL	Analgesics		bottle	0	20	0	0	9/6/2028	yes
PIROXICAM	Analgesics		tablets	20	5	4	5	9/6/2028	yes
PLASMOX			pcs	2	1	20	25	9/13/2028	yes
PLASTER ROLL	Medical Supplies		roll	0	30	0	0	9/6/2028	yes
PLGSMOS	Herbal Remedies		bottle	0	30	0	0	9/6/2028	no
POLYCHLOROM	Medical Supplies		bottle	0	30	0	0	9/6/2028	no
POLYFER CAP	Vitamins & Supplements		syrup	3	30	4	5	9/6/2028	yes
POLYTENE	Medical Supplies		pack	0	50	0	0	9/6/2028	no
POSTINOR	Hormonal & Reproductive Health		tablets	20	5	4	5	9/6/2028	yes
PREDNISOLONE	Analgesics		tablets	40	15	1	1	9/6/2028	yes
PREGNANCY TEST	Medical Supplies		pack	0	30	0	0	9/6/2028	yes
QUININE SYRUP	Antimalarials		bottle	0	20	0	0	9/6/2028	yes
RAPINOL	Analgesics		pcs	15	5	1	2	9/13/2028	yes
REDSUN	Herbal Remedies		sachet	73	6	3	5	9/6/2028	yes
RIDDLES ADULT	Respiratory		pcs	10	2	10	15	9/12/2028	yes
RIDDLES INFANT	Respiratory		bottle	10	2	10	15	9/6/2028	yes
ROBB	Vitamins & Supplements		bottle	12	5	1	2	9/6/2028	yes
RONAC	Vitamins & Supplements		capsules	0	40	0	0	9/6/2028	yes
RONFIT FORTE	Vitamins & Supplements		bottle	16	5	7	8	9/6/2028	yes
S.O.B.	Respiratory		bottle	0	20	0	0	9/6/2028	no
SALINE DROP	Eye Care		bottle	0	20	0	0	9/6/2028	yes
SALO	Medical Supplies		bottle	0	30	0	0	9/6/2028	yes
SAMALIN 2%	Respiratory		bottle	0	20	0	0	9/6/2028	yes
SAMALIN ADULT	Respiratory		bottle	4	2	15	20	9/6/2028	yes
SAMALIN JNR	Respiratory		bottle	10	4	15	20	9/6/2028	yes
SANITORY PAD	Skin Care		pcs	2	10	15	20	9/12/2028	yes
SECURE	Hormonal & Reproductive Health		pcs	3	2	5	7	9/13/2028	yes
SEMEN CAPS	Vitamins & Supplements		capsules	0	30	0	0	9/6/2028	yes
SEQUAZOL ABENDAZOLE 40MG	Anthelmintics		tablets	0	20	0	0	9/6/2028	yes
SEQUIZOL	Anthelmintics		pcs	10	3	8	10	9/13/2028	yes
SERMENS CAP			pcs	9	2	50	55	9/13/2028	yes
SERMENS MIXTURE	Herbal Remedies		bottle	9	30	50	55	9/6/2028	yes
SHAWLROSE	Vitamins & Supplements		capsules	0	40	0	0	9/6/2028	yes
SOLDIER BALM	Skin Care		tube	3	30	12	15	9/6/2028	yes
SPANISH HERBAL	Herbal Remedies		bottle	0	30	0	0	9/6/2028	yes
SPEROFONTMENT	Skin Care		tube	0	20	0	0	9/6/2028	yes
SUPP DICLOFENAC	Analgesics		pcs	27	5	0	3	9/13/2028	yes
SUPP PARACETAMOL125MG	Analgesics		pcs	35	5	0	2	9/13/2028	yes
SUPPRIMOL 125	Analgesics		tablets	0	40	0	0	9/6/2028	yes
SUPPRIMOL 250	Analgesics		tablets	0	40	0	0	9/6/2028	yes
SUSP AMOXYCILLIN	Antibiotics		bottle	9	3	8	10	9/6/2028	yes
SUSP COTRIMAZOLE			pcs	2	2	8	10	9/12/2028	yes
SUSP FLUCLOXACILLIN	Antibiotics		capsules	12	3	8	10	9/6/2028	yes
SUSP GRISEOFULVIN	Antifungals		bottle	6	1	20	25	9/6/2028	yes
SUSP MALAR 2			bottle	7	2	20	25	9/12/2028	yes
SUSP METRONIDAZOLE	Antibiotics		bottle	12	3	8	10	9/6/2028	yes
SYMUTIVITE	Vitamins & Supplements		tablets	0	50	0	0	9/6/2028	yes
SYR ARFAN 20/120MG	Analgesics		tablets	12	5	8	10	9/6/2028	yes
SYR CIROTAMIN	Vitamins & Supplements		pcs	3	1	25	30	9/12/2028	yes
SYR CYTOMOGEN	Vitamins & Supplements		bottle	0	30	0	0	9/6/2028	yes
SYR ZINCOFER	Vitamins & Supplements		pcs	2	1	40	50	9/12/2028	yes
SYRUP ABYTONE FORTE	Vitamins & Supplements		pcs	7	10	25	30	9/12/2028	yes
SYRUP AMCOF	Respiratory		pcs	1	1	15	20	9/12/2028	yes
SYRUP BECOATIN	Vitamins & Supplements		bottle	2	30	25	30	9/6/2028	yes
SYRUP BONAPLEX	Vitamins & Supplements		bottle	2	30	50	60	9/6/2028	yes
SYRUP ESKARON	Vitamins & Supplements		bottle	6	30	20	25	9/6/2028	yes
SYRUP GLO POWER GP	Vitamins & Supplements		bottle	1	50	25	30	9/6/2028	yes
SYRUP HEPTOLIF ADULT	Vitamins & Supplements		bottle	4	30	20	25	9/6/2028	yes
SYRUP HEPTOLIF JUNIOR	Vitamins & Supplements		bottle	4	30	8	10	9/6/2028	yes
SYRUP IBUPROFEN LETAP	Analgesics		tablets	3	40	8	10	9/6/2028	yes
SYRUP IBUZAP	Analgesics		pcs	3	10	10	15	9/12/2028	yes
SYRUP KIDI CARE	Vitamins & Supplements		bottle	1	20	25	30	9/6/2028	yes
SYRUP LEENA	Vitamins & Supplements		bottle	3	30	20	25	9/6/2028	yes
SYRUP LETALIN	Vitamins & Supplements		bottle	26	5	8	10	9/6/2028	yes
SYRUP LUFART	Antimalarials		pcs	4	2	25	30	9/12/2028	yes
SYRUP PARACETAMOL			pcs	14	10	8	10	9/12/2028	yes
SYRUP PHOPAIN	Analgesics		pcs	4	10	15	20	9/12/2028	yes
SYRUP POLYFER SMALL	Vitamins & Supplements		pcs	2	10	7	10	9/12/2028	yes
SYRUP TANZOL	Anthelmintics		pcs	20	3	7	10	9/12/2028	yes
SYRUP VITAMIN C	Vitamins & Supplements		bottle	7	10	8	10	9/12/2028	yes
SYRUP VITARICH ADULT	Vitamins & Supplements		tablets	1	40	20	30	9/6/2028	yes
SYRUP VITARICH JUNIOR	Vitamins & Supplements		bottle	2	10	15	20	9/12/2028	yes
TAB ARFAN	Antimalarials		pcs	19	5	8	10	9/13/2028	yes
TAB BRUFEN 400	Analgesics		pcs	23	5	1	2	9/13/2028	yes
TAB CITRO C	Vitamins & Supplements		pcs	12	10	4	5	9/12/2028	yes
TAB COTRIMOXAZOLE	Antibiotics		pcs	18	5	0	2	9/13/2028	yes
